pubkey: 7BACsXdze3FporEnXEbuSHStPPQ58tpZuWb7jgsUYmV | owner: Fa7LNzj3SCV364hya9dx9evL29pC1awx24iHeCEwX6vU | ts: 2026-09-11T08:05:43.000Z | dep: $326.03 | bor: $28621.93 | LTV: 87.7888 | liqThresh: 0.4000
pubkey: 9owPwQzgDBh38gHgPGGrKtEtF4XqRgYEwk6PHQzsaqm | owner: 42844Gsqzg3gQ1J8BkjADbgtdDAuHjBYiEVAeorJExqs | ts: 2026-09-05T15:25:00.000Z | dep: $6801.07 | bor: $28474.07 | LTV: 4.1867 | liqThresh: 0.7000
pubkey: CWmXv5Gr81xks5UtZeKFDc92chfgrimNtDgsWHEToVr | owner: EvqgfLJosjSi5UL51h2ZQCkXvR8CNop1n16zZ4nq89sB | ts: 2026-09-07T14:48:52.000Z | dep: $2180.59 | bor: $28616.78 | LTV: 13.1234 | liqThresh: 0.4000
pubkey: CbYF8fzToc4cJuM6CkCtCZ5K83xGnSA8NPj5mavzsNV | owner: 7D2fxEWo3zBd5dQSiHYzDb9uVgX6qRCvasPg2FZYNkSW | ts: 2026-08-29T11:29:02.000Z | dep: $10157.16 | bor: $28476.53 | LTV: 2.8036 | liqThresh: 0.6500
pubkey: NLkSxSzsMCu6Wv6p19TsgUzaZntaq5arWmN5FwHgeFt | owner: Fks8MoaYMnZe8QcZFfkwMSBy4fBmw9BkrH8UAVA7PvTM | ts: 2026-09-07T14:55:00.000Z | dep: $11802.47 | bor: $28616.79 | LTV: 2.4246 | liqThresh: 0.7500
pubkey: NQNiySD1ZAwy86oU4xfbyohw14crTFJ721sbL5cgnG5 | owner: 5gJSyJudCVpiHX35sb4CEPSC1aFrvYo29i3uNS6qAtnW | ts: 2026-09-04T09:38:39.000Z | dep: $1431.25 | bor: $28612.33 | LTV: 19.9912 | liqThresh: 0.4000
pubkey: Nrn4DTxFfHoyFrLRJBAnpN4F3cmsadvPjygNGY4qQEx | owner: CRY2UdkFB4Ub4yx3SBzwGyzVjPU5heAg2qToS2M3VUoi | ts: 2026-09-10T20:10:48.000Z | dep: $883.55 | bor: $28505.87 | LTV: 32.2629 | liqThresh: 0.7000
pubkey: TCR51cqcdyactLctCzSTaTpoyb47toBwJTK7SDGnLYQ | owner: DGc6W6TyhaDKSfHiU1YYXD2bjQaeV1cBgCjg9L8Uh2J4 | ts: 2026-09-10T17:46:18.000Z | dep: $2657.24 | bor: $28590.77 | LTV: 10.7596 | liqThresh: 0.6500
pubkey: VfjFh4Fs19w1V5fHtLfxb83NCA65DipEsPbdtdNHMz1 | owner: 9zKuT83ft95m9eFXmLD86yWtPiX8yDtYjUqydJjs7JXX | ts: 2026-09-15T11:21:39.000Z | dep: $2050.62 | bor: $28542.26 | LTV: 13.9188 | liqThresh: 0.4000
pubkey: biPXLtxdoLjyS8tseBrCdsJX9Xrz4X95tW2kxDKDrzs | owner: 54JMujhRfdfFq7ixFu6S4LTcThihaxoz6yPzWF8MgJ4Y | ts: 2026-08-22T05:00:05.000Z | dep: $24835.76 | bor: $28594.10 | LTV: 1.1513 | liqThresh: 0.6500
pubkey: gMMDzbdfdKBvm4RHT8ZjPeMsPnAFzKV1Aw7AUgTjvzq | owner: CA6fYJmXZC7CyHAAAzqLD2uHAaEMVv2WrakK7osANU72 | ts: 2026-09-08T21:07:15.000Z | dep: $179.97 | bor: $28618.53 | LTV: 159.0185 | liqThresh: 0.4000
