pubkey: 7BACsXdze3FporEnXEbuSHStPPQ58tpZuWb7jgsUYmV | owner: Fa7LNzj3SCV364hya9dx9evL29pC1awx24iHeCEwX6vU | ts: 2026-09-11T08:05:43.000Z | dep: $326.03 | bor: $28622.82 | LTV: 87.7916 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 9owPwQzgDBh38gHgPGGrKtEtF4XqRgYEwk6PHQzsaqm | owner: 42844Gsqzg3gQ1J8BkjADbgtdDAuHjBYiEVAeorJExqs | ts: 2026-09-05T15:25:00.000Z | dep: $6801.07 | bor: $28474.96 | LTV: 4.1868 | liqThresh: 0.7000 | elevationGroup: 0
pubkey: CWmXv5Gr81xks5UtZeKFDc92chfgrimNtDgsWHEToVr | owner: EvqgfLJosjSi5UL51h2ZQCkXvR8CNop1n16zZ4nq89sB | ts: 2026-09-07T14:48:52.000Z | dep: $2180.59 | bor: $28617.68 | LTV: 13.1238 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: CbYF8fzToc4cJuM6CkCtCZ5K83xGnSA8NPj5mavzsNV | owner: 7D2fxEWo3zBd5dQSiHYzDb9uVgX6qRCvasPg2FZYNkSW | ts: 2026-08-29T11:29:02.000Z | dep: $10157.16 | bor: $28477.42 | LTV: 2.8037 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: NLkSxSzsMCu6Wv6p19TsgUzaZntaq5arWmN5FwHgeFt | owner: Fks8MoaYMnZe8QcZFfkwMSBy4fBmw9BkrH8UAVA7PvTM | ts: 2026-09-07T14:55:00.000Z | dep: $11802.47 | bor: $28617.68 | LTV: 2.4247 | liqThresh: 0.7500 | elevationGroup: 0
pubkey: NQNiySD1ZAwy86oU4xfbyohw14crTFJ721sbL5cgnG5 | owner: 5gJSyJudCVpiHX35sb4CEPSC1aFrvYo29i3uNS6qAtnW | ts: 2026-09-04T09:38:39.000Z | dep: $1431.25 | bor: $28613.23 | LTV: 19.9918 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: Nrn4DTxFfHoyFrLRJBAnpN4F3cmsadvPjygNGY4qQEx | owner: CRY2UdkFB4Ub4yx3SBzwGyzVjPU5heAg2qToS2M3VUoi | ts: 2026-09-10T20:10:48.000Z | dep: $883.55 | bor: $28506.76 | LTV: 32.2639 | liqThresh: 0.7000 | elevationGroup: 0
pubkey: TCR51cqcdyactLctCzSTaTpoyb47toBwJTK7SDGnLYQ | owner: DGc6W6TyhaDKSfHiU1YYXD2bjQaeV1cBgCjg9L8Uh2J4 | ts: 2026-09-10T17:46:18.000Z | dep: $2657.24 | bor: $28591.66 | LTV: 10.7599 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: VfjFh4Fs19w1V5fHtLfxb83NCA65DipEsPbdtdNHMz1 | owner: 9zKuT83ft95m9eFXmLD86yWtPiX8yDtYjUqydJjs7JXX | ts: 2026-09-15T11:21:39.000Z | dep: $2051.21 | bor: $28543.15 | LTV: 13.9153 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: biPXLtxdoLjyS8tseBrCdsJX9Xrz4X95tW2kxDKDrzs | owner: 54JMujhRfdfFq7ixFu6S4LTcThihaxoz6yPzWF8MgJ4Y | ts: 2026-08-22T05:00:05.000Z | dep: $24835.76 | bor: $28595.00 | LTV: 1.1514 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: gMMDzbdfdKBvm4RHT8ZjPeMsPnAFzKV1Aw7AUgTjvzq | owner: CA6fYJmXZC7CyHAAAzqLD2uHAaEMVv2WrakK7osANU72 | ts: 2026-09-08T21:07:15.000Z | dep: $179.97 | bor: $28619.42 | LTV: 159.0234 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: oHqK9G1u8HawGjfgBaNGv4gMyhi8GqZuNf3znnDjoFr | owner: AT8cy8WLT4TZiBNWarcdqXSrqFkhzRx62YdwyKSg2XUT | ts: 2026-09-11T00:33:07.000Z | dep: $444.59 | bor: $28622.38 | LTV: 64.3791 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: qRACjHwdQdCH5U9mYcugybg2tsXAdzuQ8Uh6Xa6eeya | owner: 3p1H3ScXcGdoYda86hZJbVYqiibfGYgkrL21TZKVjx8B | ts: 2026-09-15T07:27:45.000Z | dep: $2722.18 | bor: $28628.31 | LTV: 10.5167 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: vp8dVWWpMXfNhdPnriZF93PgiUSB92D4L2prgZRgueK | owner: FJLmK8qxvJTLqmT3kLccaTx76PBx5mdYtJajUCpTtBQa | ts: 2026-09-10T23:46:05.000Z | dep: $3638.27 | bor: $28622.34 | LTV: 7.8670 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 22dG3Kc4e4Vd5mgd5fUayS3b812GANk8VqYG99mXme9r | owner: FGN7RzzPc9ZeYFC9qEmVxsPBKrRsU382VDHreqmFbHiZ | ts: 2026-09-04T07:16:36.000Z | dep: $3280.95 | bor: $28613.10 | LTV: 8.7210 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 24N6EoS1a6W7ysuayTvNKGtWzCQ5KLALzbv5ffs9gmhj | owner: AWRCfTyEw3puuQ7ktYLZM6rG8hMm5Po7bjgytyhnD5K3 | ts: 2026-08-26T14:44:57.000Z | dep: $1813.28 | bor: $28601.08 | LTV: 15.7731 | liqThresh: 0.7000 | elevationGroup: 0
pubkey: 26hVGXp8mv6h7AbbA3vsVvMQBG5DQk8JsXXke9WPNQjp | owner: HbhfU6ihxuzzpwmdgpWP5QC6HpemnMGZANCQEDQ7V92L | ts: 2026-09-16T00:00:06.000Z | dep: $0.10 | bor: $28576.83 | LTV: 292549.3529 | liqThresh: 0.7200 | elevationGroup: 0
pubkey: 28LY3BCYYVH56QXK65UiChvit6Chx4JXcrBgDeoEG7wg | owner: a16reooJEfpYtb9uZ5E1n6hpJ3XSH2HYwzBsZfPP8VE | ts: 2026-09-10T10:27:56.000Z | dep: $423.95 | bor: $28621.57 | LTV: 67.5121 | liqThresh: 0.7500 | elevationGroup: 0
pubkey: 29SJvt3E3qCPLt4FkMP4aNkHQKFUuxFCbsF9CWxB7gUM | owner: 6uxyAiELjF49wxMTEZ2CgTLWXkUzXxt94ZN5ByU7YiJW | ts: 2026-08-28T05:59:30.000Z | dep: $1217.62 | bor: $28603.35 | LTV: 23.4912 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 2B5rJFn3gQRbsqFsu5oNKfTdC726YTJSNPR9Vx1hKVCu | owner: CNCKnD9cV6dqREytQ9w7817rCMkQFRU6FrfGrb9qNaY4 | ts: 2026-09-12T08:58:39.000Z | dep: $955.11 | bor: $28624.25 | LTV: 29.9695 | liqThresh: 0.7200 | elevationGroup: 0
pubkey: 2C4KnvXxvXtwLwVsfC7K2t59hagdPvaPbZSwT1o4biQe | owner: Mvwoi3Taht1kmJZFo7enY6cnycNERMCzXV5mophD6KM | ts: 2026-09-13T17:16:18.000Z | dep: $829.60 | bor: $28616.62 | LTV: 34.4943 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: 2F8Wj5dgUpAuPkmTT4nZZ5okCSahi4XikkE1kWhPjsoK | owner: 7q9yAKdjyt27wGXNzsPbmSZCUTafZUCvGTYsZdttdQGb | ts: 2026-08-26T07:07:07.000Z | dep: $10.90 | bor: $28599.15 | LTV: 2624.3295 | liqThresh: 0.5000 | elevationGroup: 0
pubkey: 2FguY8N7n7bFXoDVRKz6o5jkpoA7bmDoH8ZV1REwNXnX | owner: ry5DAu3UjLsYenuy8SdJSp7sevHFeEcd2PaDxR2zgWT | ts: 2026-09-06T06:05:23.000Z | dep: $771.34 | bor: $28615.79 | LTV: 37.0990 | liqThresh: 0.7200 | elevationGroup: 0
